lam      chi    loggf
3094.865 2.728 -1.963        
3094.900 2.469 -3.466         
3094.900 2.692 -1.154        
3095.038 2.176 -6.182         
3095.267 2.692 -1.516        
3095.769 2.450 -4.544         
3096.847 2.198 -4.118        
3097.438 2.424 -3.455      
3097.480 2.424 -3.475      
3097.494 2.425 -2.957         
3098.159 2.865 -7.128         
3098.189 2.692 -0.924      
3098.200 1.485 -4.810         
3098.545 2.990 -1.918      
3098.967 2.223 -3.034         
3099.120 2.559 -3.370       
3099.388 2.176 -6.014        
3099.497 3.018 -2.396     
3099.671 1.608 -3.880        
3099.858 2.279 -6.060     
3099.894 1.011 -1.079     
3099.948 2.279 -7.319     
3099.968 0.915 -0.972     
3100.303 0.990 -0.871     
3100.665 0.958 -0.866     
3100.836 2.404 -1.334       
3101.002 2.727 -1.144     
3101.059 2.482 -5.241         
3101.198 2.609 -3.538     
3102.258 2.223 -3.954        
3102.637 0.990 -3.519     
3103.764 2.424 -2.318      
3103.851 2.279 -3.185      
3103.854 3.047 -1.965         
3103.907 2.425 -4.648         
3104.492 3.547 -3.179        
3105.200 2.482 -3.789         
3105.561 2.609 -4.277     
3105.657 1.485 -3.010        
3106.011 2.876 -6.740         
3106.273 2.876 -6.378         
3106.538 2.453 -2.389     
3106.854 2.279 -5.493     
3106.928 2.176 -4.315         
3108.954 2.424 -5.712      
3109.038 2.469 -6.360         
3110.196 2.484 -2.365     
3110.745 2.469 -4.728         
3111.070 2.882 -7.896         
3111.333 2.882 -7.750         
3111.623 2.851 -6.840         
3111.685 2.559 -1.697      
3111.706 2.469 -5.323         
3112.073 2.198 -4.285         
3112.077 2.949 -1.077        
3112.236 2.949 -2.132    
3112.827 2.223 -4.338         
3113.316 2.399 -4.600         
3113.588 2.759 -1.507        
3113.665 2.469 -2.942         
3113.808 2.885 -7.473         
3114.057 1.557 -2.312        
3115.008 2.759 -1.625        
3115.658 3.071 -1.886         
3115.865 3.018 -2.111     
3116.193 2.223 -3.475        
3116.283 2.450 -3.595         
3116.387 2.588 -4.347     
3116.472 2.198 -3.049        
3116.527 2.176 -4.698         
3116.544 2.424 -3.322      
3116.631 1.011 -1.655     
3117.003 2.484 -4.381      
3117.640 0.990 -3.504     
3118.750 2.279 -6.056     
3119.035 2.759 -3.340        
3119.432 2.482 -2.765         
3119.495 2.433 -0.926        
3119.580 1.485 -3.450        
3120.018 2.588 -2.911     
3120.032 2.425 -3.256         
3120.435 2.453 -1.130     
3121.151 2.482 -4.818         
3121.756 2.223 -3.300         
3122.118 2.482 -6.919         
3122.294 2.728 -1.551        
3122.333 3.047 -4.387         
3122.668 2.728 -3.772         
3122.729 2.865 -6.018         
3122.775 2.450 -4.173         
3123.200 2.433 -3.116     
3123.260 2.176 -3.274        
3123.348 2.425 -1.973         
3123.443 2.692 -1.415         
3123.542 2.728 -3.618        
3124.091 2.482 -2.935         
3124.133 2.399 -5.625         
3124.369 3.211 -5.068         
3125.032 1.557 -3.628        
3125.268 2.759 -2.210         
3125.642 2.728 -2.249         
3125.651 0.990 -1.663     
3125.656 2.399 -3.149         
3125.682 2.404 -0.866      
3125.766 2.450 -5.219         
3126.144 2.990 -1.868    
3126.833 2.559 -2.640       
3128.898 1.557 -2.651         
3129.182 2.450 -4.457         
3129.333 1.485 -2.031     
3130.185 3.573 -6.997         
3130.476 3.573 -2.957        
3130.705 2.876 -8.647         
3131.115 3.047 -5.713        
3131.459 2.469 -4.631         
3132.518 3.211 -0.457     
3133.102 2.484 -6.425      
3133.519 2.453 -3.586     
3133.964 2.425 -2.793         
3134.077 2.425 -3.781         
3134.110 0.958 -1.982     
3134.151 1.011 -3.936         
3134.410 2.692 -0.910        
3134.454 2.588 -3.531      
3134.636 2.728 -1.504        
3135.564 2.176 -4.783         
3135.861 2.453 -1.190    
3136.084 2.399 -2.522         
3136.119 2.609 -4.034     
3136.762 2.692 -2.053         
3137.548 2.759 -2.883        
3138.014 2.469 -4.179         
3138.400 1.557 -4.493        
3138.514 2.728 -2.046        
3138.943 3.047 -2.534         
3139.097 2.450 -2.310         
3139.597 2.469 -8.106         
3139.604 2.453 -3.568     
3139.658 2.399 -1.727         
3139.920 2.728 -2.737        
3140.042 2.833 -6.829         
3140.390 3.241 -0.418         
3140.698 2.453 -4.036     
3141.034 2.469 -5.485         
3141.885 2.609 -4.665     
3142.454 2.449 -1.390     
3142.889 2.279 -1.379     
3142.910 2.588 -4.476     
3142.952 3.047 -2.729         
3143.243 0.000 -3.881     
3143.990 3.211 -0.090     
3144.427 2.759 -3.144        
3144.484 2.469 -3.120         
3144.515 1.608 -2.689        
3144.728 2.484 -3.598      
3144.895 2.990 -2.540     
3144.919 2.433 -1.801     
3144.925 2.425 -3.618         
3145.057 2.990 -1.207     
3145.457 2.450 -3.672         
3146.274 2.279 -5.938     
3146.468 2.425 -3.411         
3146.837 2.865 -6.521         
3146.896 2.759 -3.323        
3147.292 2.728 -1.477         
3147.498 3.017 -4.463        
3147.502 2.832 -3.842         
3147.658 2.433 -2.598     
3147.688 3.547 -3.840         
3147.795 3.018 -1.103       
3148.164 2.759 -4.154        
3148.406 2.433 -3.082      
3148.467 2.399 -2.419         
3149.495 2.949 -1.214     
3150.197 2.482 -3.399         
3150.237 2.728 -1.971        
3150.502 2.425 -4.718         
3150.755 3.573 -1.908         
3151.224 1.557 -2.492        
3151.347 2.728 -2.065         
3151.644 2.482 -5.091         
3151.866 0.052 -3.991     
3152.712 2.833 -7.479         
3153.049 2.949 -2.285     
3153.050 2.198 -4.504         
