lam      chi    loggf
3292.590 2.223 -0.890  
3293.141 1.608 -3.118     
3293.394 2.940 -5.530         
3293.581 2.876 -5.229         
3296.288 2.845 -4.010        
3296.464 2.588 -2.089      
3296.516 2.609 -3.759      
3296.785 2.882 -5.914         
3296.803 3.301 -1.272         
3296.844 2.833 -3.589         
3296.942 2.609 -6.301      
3298.132 2.223 -1.133     
3298.272 2.998 -6.132         
3298.376 2.833 -3.564         
3298.533 3.430 -4.141         
3299.068 3.397 -4.127         
3299.506 1.557 -4.391         
3301.012 2.851 -4.052         
3301.119 2.176 -4.304         
3301.218 2.845 -1.884        
3301.260 2.865 -4.515         
3301.453 2.176 -4.126         
3301.913 3.237 -1.758         
3303.241 3.017 -3.968         
3303.311 2.453 -6.583     
3303.529 2.176 -2.712         
3303.569 3.018 -1.777     
3304.358 3.417 -4.057         
3305.745 3.267 -1.392         
3305.766 1.608 -3.872         
3305.854 3.038 -1.843         
3305.971 2.198 -0.333     
3306.081 2.990 -1.936    
3306.340 3.047 -0.072     
3306.355 2.223 -0.402     
3306.481 3.301 -1.091         
3306.587 2.949 -1.851    
3307.006 2.949 -2.872     
3307.234 3.237 -0.377      
3307.688 2.998 -1.715         
3308.621 2.833 -3.301         
3308.744 2.404 -2.081      
3308.761 2.728 -3.301        
3308.792 3.211 -1.869        
3310.071 2.588 -3.481      
3310.341 2.949 -1.166      
3310.466 2.998 -5.025         
3310.491 3.251 -1.040     
3310.874 2.998 -7.281         
3311.449 0.990 -4.522         
3312.223 2.990 -2.521    
3312.697 2.858 -1.781        
3313.715 1.608 -5.015         
3314.065 3.415 -1.695         
3314.277 2.851 -3.736         
3314.388 2.940 -7.397         
3314.443 2.609 -2.147      
3314.741 3.301 -0.078     
3314.870 2.851 -3.695         
3315.167 3.301 -2.054         
3315.235 3.237 -6.020        
3315.591 3.267 -4.066        
3316.560 2.176 -2.886         
3317.121 2.279 -1.812  
3317.212 2.433 -8.610     
3318.251 3.695 -3.115       
3319.151 2.940 -7.053         
3319.253 2.990 -1.256     
3319.672 2.484 -5.633     
3320.148 1.608 -5.399         
3320.505 2.198 -4.946         
3320.645 2.433 -2.110     
3320.777 3.038 -1.862         
3320.844 2.198 -3.307         
3321.581 2.279 -5.628     
3322.473 2.940 -0.826      
3323.736 2.831 -0.600  
3323.883 2.998 -6.833         
3324.370 3.267 -3.032         
3324.537 2.404 -1.504      
3325.218 2.851 -6.827         
3325.465 2.453 -1.561     
3325.999 2.940 -5.612         
3326.133 2.998 -6.582         
3326.879 2.865 -7.207         
3327.110 2.759 -3.802         
3327.477 2.865 -5.231         
3327.495 2.404 -5.555      
3327.952 2.176 -2.451         
3328.375 2.940 -6.698         
3328.866 3.267 -0.394      
3329.270 2.940 -5.108         
3329.415 2.588 -7.683     
3329.523 3.047 -1.672         
3329.973 3.017 -2.098        
3330.213 2.832 -2.928        
3330.306 3.018 -2.455    
3330.487 2.453 -5.993    
3331.597 3.017 -2.575        
3331.611 2.433 -1.574     
3331.776 2.484 -1.951      
3331.931 3.018 -2.985    
3332.336 3.332 -2.968        
3333.792 2.559 -6.104     
3334.140 3.038 -6.943         
3334.218 2.433 -2.046      
3334.273 3.267 -1.684         
3334.568 2.998 -6.371         
3335.392 2.559 -3.170      
3335.441 2.279 -2.643      
3335.510 1.557 -3.645         
3335.716 2.728 -2.559         
3335.769 2.845 -1.205     
3335.934 2.876 -6.234         
3336.129 2.198 -2.807         
3336.257 3.301 -1.132     
3336.401 2.759 -3.891        
3336.538 3.018 -3.594    
3336.582 2.404 -8.132     
3337.665 2.692 -1.068        
3338.410 2.559 -4.175      
3338.623 2.998 -1.703         
3338.789 3.038 -6.801         
3339.189 2.949 -2.136      
3339.195 2.453 -1.686     
3339.308 2.433 -6.527    
3339.578 3.017 -1.807        
3340.564 2.279 -1.383     
3341.906 2.692 -1.275       
3342.214 2.279 -3.263 
3342.292 2.845 -1.324     
3342.407 3.267 -7.585        
3343.098 2.223 -3.645         
3343.236 2.176 -2.764         
3343.659 2.990 -3.504    
3343.671 3.018 -2.291     
3343.761 3.038 -2.158         
3344.087 2.990 -3.783     
3344.502 1.608 -5.383         
3344.791 3.017 -3.149        
3345.090 2.990 -4.421    
3345.098 2.998 -8.238         
3345.124 2.998 -4.914         
3345.686 2.424 -3.451      
3345.840 3.038 -6.593         
3346.285 3.301 -5.325        
3346.558 3.252 -3.475        
3346.601 3.038 -5.276         
3346.935 2.176 -3.154        
3347.017 3.038 -7.728         
3347.498 2.990 -2.318      
3347.756 2.609 -7.063     
3347.925 2.279 -1.385     
3349.727 2.832 -3.123        
3350.256 2.433 -3.094      
3350.285 2.453 -2.893     
3350.873 2.940 -8.024         
3351.522 2.198 -2.301
3351.726 2.949 -2.320    
3351.744 2.727 -1.588     
3352.921 2.453 -4.137      
3353.260 2.433 -2.048      
3354.059 2.858 -1.169     
3354.416 2.949 -1.859     
3354.598 3.237 -2.677         
3355.228 3.301 -0.405     
3355.517 0.958 -4.313         
3355.652 2.559 -5.443     
3356.320 0.915 -4.262         
3356.338 2.998 -6.081         
3356.401 2.279 -1.880     
3356.684 3.047 -1.554        
3357.393 3.017 -4.918        
3357.732 3.018 -4.845    
3357.816 2.990 -3.379    
3358.067 2.453 -8.179    
3358.296 3.603 -2.389         
3359.487 0.859 -4.211         
3359.808 3.301 -1.488         
3359.941 2.588 -7.328     
3360.313 3.038 -6.352         
3360.927 2.424 -2.405      
3360.972 2.279 -3.775      
3361.567 2.588 -3.739      
3361.949 2.845 -1.832        
3362.267 2.990 -4.284    
3362.489 2.433 -7.564     
3363.015 3.047 -3.205        
3363.811 2.759 -3.084         
3363.881 2.990 -3.211    
3364.633 2.588 -2.905      
3365.271 3.017 -3.030        
3365.611 3.018 -5.538    
3366.563 2.759 -7.686         
3366.786 2.692 -1.126         
3366.843 2.728 -3.961         
3366.865 2.198 -2.237        
3367.156 2.424 -2.282      
3368.052 2.940 -4.903         
3368.161 2.588 -5.870     
3368.240 3.252 -2.441        
3368.440 3.018 -4.699    
3368.971 2.832 -2.388         
3369.140 2.453 -2.497      
3369.547 2.727 -0.506        
3369.551 3.017 -2.243        
3369.892 3.018 -5.337    
3369.925 2.692 -2.332         
3370.262 3.047 -2.495         
3370.337 2.559 -6.270     
3370.783 2.692 -0.266      
3371.234 3.038 -4.946         
3371.289 3.603 -4.180         
3371.700 2.998 -5.279         
3372.074 2.176 -1.955     
3372.343 2.990 -2.061     
3373.871 2.727 -2.292       
3374.191 2.223 -1.864         
3374.486 3.038 -8.579         
3375.133 2.728 -4.582         
3375.724 2.990 -3.345    
3376.999 2.990 -4.453      
3378.621 2.609 -7.307     
3378.679 2.692 -1.486         
3378.728 2.609 -6.381     
3378.732 2.279 -2.768 
3378.766 2.998 -4.726         
3379.018 2.176 -1.406     
3379.922 2.759 -4.766         
3380.110 2.758 -0.701     
3380.750 3.071 -1.947        
3380.807 2.940 -5.805         
3381.219 2.998 -6.124         
3381.326 3.252 -4.344        
3381.334 2.845 -1.856     
3381.500 1.608 -5.123         
3381.511 2.453 -8.048     
3381.997 3.038 -7.919         
3382.147 2.588 -5.906     
3382.402 2.176 -1.910     
3382.421 3.267 -1.665         
3382.464 3.017 -2.992        
3382.608 3.267 -3.921        
3382.808 3.018 -2.320    
3383.365 2.609 -2.959      
3383.672 2.949 -3.494    
3383.692 2.198 -1.400        
3383.739 2.559 -6.224     
3383.979 2.176 -1.106     
3384.008 2.990 -3.818    
3384.798 0.990 -4.534         
3385.498 3.252 -3.073         
3386.933 2.609 -6.238     
3386.981 3.017 -2.400        
3387.325 3.018 -2.099    
3387.406 2.759 -1.716         
3388.618 3.017 -1.884        
3388.963 3.018 -2.704    
3388.968 3.071 -2.332        
3389.743 2.223 -2.520        
3389.823 2.990 -1.999    
3390.250 2.433 -4.062     
3391.836 3.301 -2.525        
3392.009 3.017 -1.121        
3392.282 3.301 -1.198        
3392.305 2.198 -1.067     
3392.574 2.990 -4.269     
3392.652 2.176 -0.644     
3393.019 3.603 -1.650         
3393.378 2.858 -2.049         
3393.487 3.038 -5.525         
3393.588 2.759 -1.622         
3393.623 2.832 -2.332         
3393.916 2.279 -4.962      
3394.077 2.453 -2.235     
3394.269 2.279 -7.170      
3394.337 3.071 -4.848        
3394.583 2.198 -1.345     
3394.723 2.940 -5.015         
3395.345 2.940 -4.599         
3395.427 3.047 -2.296        
3395.467 2.759 -4.688         
3395.869 3.047 -3.363         
3395.894 2.453 -2.785    
3396.378 0.958 -3.531         
3396.903 3.047 -3.104        
3396.976 0.958 -2.427     
3397.065 2.588 -5.861     
3397.205 3.017 -2.622         
3397.552 3.018 -4.656     
3397.638 0.990 -3.174     
3398.115 3.237 -4.286         
3398.217 2.758 -2.018    
3398.269 3.038 -6.310         
3398.807 3.017 -4.635        
3399.104 2.559 -5.121      
3399.154 3.018 -3.057    
3399.230 2.728 -1.496         
3399.333 2.198 -0.722
3399.386 3.047 -2.513         
3400.636 3.017 -1.988        
3400.984 3.018 -4.095    
3401.075 2.609 -7.301     
3401.519 0.915 -2.059     
3401.795 2.998 -5.268         
3402.256 3.237 -0.306      
3402.429 2.728 -1.844         
3402.634 2.759 -2.142         
3403.290 2.831 -1.315     
3403.304 2.728 -2.257         
3403.899 2.759 -4.997         
3404.270 1.011 -2.581     
3404.301 2.728 -0.668         
3404.354 2.198 -0.878     
3404.440 2.998 -4.938         
3404.755 2.728 -4.473         
3404.914 2.692 -0.638         
3405.511 3.654 -1.961         
3405.832 2.692 -0.861         
3406.167 2.845 -2.485         
3406.203 2.940 -4.743         
3406.437 3.274 -0.590  
3406.552 2.453 -2.035     
3406.800 2.223 -1.004        
3407.050 2.832 -3.003        
3407.315 3.071 -2.342        
3407.460 2.176 -0.020     
3407.532 2.176 -1.786     
3409.043 3.017 -2.481        
3409.192 3.038 -5.890         
3409.208 3.237 -2.070         
3409.392 3.018 -5.035    
3409.588 2.453 -2.319     
3410.027 3.047 -3.865        
3410.169 3.415 -0.355     
3410.239 2.279 -4.602      
3410.553 2.588 -3.246      
3410.681 2.588 -6.225     
3410.837 2.949 -4.042      
3410.895 0.915 -3.313     
3411.126 2.692 -1.439         
3411.353 2.727 -1.060 
3411.853 2.949 -2.964     
3411.882 2.692 -2.304         
3413.132 2.198 -0.404     
3413.652 2.949 -3.546     
3414.372 3.301 -3.586         
3414.562 3.301 -2.501        
3414.618 3.047 -3.013        
3415.221 2.832 -3.508         
3415.295 3.018 -3.094    
3415.429 3.071 -2.293        
3415.531 2.223 -1.392     
3416.282 3.047 -1.548        
3416.678 2.484 -2.834      
3417.256 1.011 -3.390 
3417.841 2.223 -0.676     
3418.159 3.283 -4.143         
3418.507 2.223 -0.761     
3418.872 3.654 -1.512         
3418.923 3.038 -6.084         
3419.080 3.332 -1.798        
3419.145 2.990 -2.369    
3419.153 3.241 -6.152         
3419.694 2.845 -1.687        
3420.754 3.211 -5.663         
3421.211 3.252 -3.444        
3422.174 2.998 -4.923         
3422.502 2.990 -3.193    
3422.566 2.559 -3.441      
3422.656 2.223 -0.917     
3424.284 2.176 -0.703     
3425.010 3.047 -0.500     
3426.086 3.111 -3.581        
3426.324 2.279 -1.622     
3426.383 0.990 -1.909     
3426.387 2.176 -2.258         
3426.628 2.198 -0.990     
3426.666 3.267 -0.684      
3426.988 0.990 -2.604     
3427.038 2.450 -8.076         
3427.119 2.176 -0.098     
3427.196 2.949 -3.356    
3427.556 3.301 -2.879        
3427.886 2.559 -5.279     
3427.926 2.845 -3.365         
3428.012 3.301 -3.240        
3428.193 2.198 -0.822     
3428.409 2.759 -1.551         
3428.498 3.047 -4.423        
3428.748 3.602 -0.630     
3429.802 2.609 -3.321      
3429.813 3.047 -1.102         
3430.875 3.267 -2.906         
3431.428 2.588 -7.025     
3431.573 3.111 -3.162        
3431.664 2.759 -5.878         
3431.812 2.831 -1.192        
3431.843 3.301 -1.463         
3432.014 2.858 -2.431        
3433.568 2.759 -1.368         
3433.629 2.949 -5.010      
3433.834 2.609 -6.555     
3434.030 2.759 -4.336         
3434.556 2.832 -4.033         
3434.678 2.832 -3.180         
3434.953 3.547 -1.839         
3436.036 3.267 -2.141        
3436.382 3.686 -3.087         
3437.043 3.047 -3.012        
3437.111 2.559 -3.715      
3437.624 2.433 -3.167     
3437.949 3.267 -1.437         
3438.100 2.728 -1.117         
3439.036 2.728 -1.442         
3439.962 3.038 -7.889         
3440.305 2.858 -3.490         
3440.606 0.000 -0.673     
3440.742 2.759 -3.129         
3440.989 0.052 -0.958     
3442.362 2.279 -1.393     
3442.645 3.266 -6.407         
3442.667 3.038 -6.973         
3442.669 0.958 -2.662     
3442.967 3.547 -3.995         
3442.968 3.266 -3.412         
3442.974 3.071 -1.689        
3443.042 3.047 -2.165        
3443.876 0.087 -1.374     
3444.694 2.876 -4.417         
3444.705 3.017 -2.494        
3445.061 3.018 -4.169    
3445.149 2.198 -0.535     
3445.205 2.728 -4.467         
3445.400 2.469 -8.206         
3445.803 2.882 -4.439         
3445.880 3.047 -1.391         
3446.786 2.609 -2.441      
3446.950 1.011 -3.651         
3447.278 2.198 -1.021     
3447.406 2.845 -3.215         
3447.529 2.845 -3.359         
3447.915 2.845 -5.101         
3448.188 2.404 -3.501      
3448.469 3.018 -4.206    
3448.532 2.832 -5.968         
3448.585 2.832 -3.587         
3448.780 2.832 -2.983         
3448.862 2.559 -2.830      
3449.059 2.949 -3.680     
3449.101 3.241 -4.571         
3449.712 2.998 -6.978         
3449.978 3.071 -2.826        
3450.132 2.588 -3.124      
3450.328 2.223 -0.902     
3450.355 2.998 -8.197         
3450.914 2.609 -8.700     
3450.917 2.882 -4.489         
3450.927 2.425 -6.165         
3451.337 2.990 -5.743     
3451.613 2.424 -1.565     
3451.656 2.559 -1.753       
3451.914 2.223 -0.996     
3452.275 0.958 -1.919     
3452.464 2.865 -4.014         
3453.021 2.759 -0.981         
3453.602 3.368 -3.356        
3453.962 2.885 -3.998         
3454.499 3.017 -2.816        
3454.569 2.865 -3.715         
3454.857 3.018 -3.831    
3455.538 2.588 -6.385     
3456.376 2.832 -2.880         
3457.086 3.603 -0.736         
3457.110 2.559 -9.465     
3457.508 2.453 -3.648     
3458.303 2.424 -1.281     
3459.286 3.283 -3.874         
3459.427 2.692 -1.631     
3459.464 3.301 -5.118         
3459.611 3.283 -4.071         
3459.914 3.017 -0.932     
3459.926 2.858 -4.031         
3459.949 2.279 -2.590    
3461.487 2.845 -9.302         
3461.540 2.845 -6.537         
3462.216 2.876 -3.475         
3462.352 2.198 -2.110 
3462.813 2.832 -3.196         
3463.303 1.485 -2.724     
3464.333 2.876 -5.681         
3464.769 2.832 -2.668         
3464.913 2.588 -1.570      
3465.526 2.876 -4.725         
3465.861 0.110 -1.192     
3466.283 2.404 -2.725      
3466.346 2.851 -4.231         
3466.498 0.859 -3.217         
3467.037 2.990 -4.409    
3467.680 2.949 -2.731      
3467.954 2.759 -2.401         
3467.956 2.876 -3.976         
3468.145 3.292 -6.894         
3468.503 2.882 -3.354         
3468.845 2.559 -1.286      
3468.960 2.279 -3.497     
3469.012 3.301 -0.856     
3469.390 2.845 -2.429         
3469.831 2.608 -1.733
3470.628 2.882 -4.955         
3470.962 3.301 -2.810         
3471.266 2.223 -1.444     
3471.343 2.279 -1.399     
3471.454 2.424 -2.795      
3471.825 2.882 -7.566         
3472.231 2.832 -3.341         
3473.008 3.266 -3.219         
3473.235 3.211 -3.545         
3473.296 3.047 -2.011        
3473.498 0.990 -3.525         
3473.549 2.832 -4.486         
3473.622 2.990 -3.181      
3474.110 2.858 -4.818         
3474.264 2.882 -3.595         
3474.265 2.450 -5.184         
3474.380 2.851 -3.468         
3474.907 2.885 -5.687         
3475.299 2.609 -6.350     
3475.450 0.087 -1.054     
3475.652 2.176 -1.108     
3475.864 2.433 -1.942      
3475.875 2.845 -5.528         
3476.311 2.279 -2.217     
3476.344 3.602 -0.465     
3476.702 0.121 -1.507     
3476.760 3.047 -3.251        
3476.854 2.588 -1.281     
3477.004 2.424 -2.979      
3477.351 2.885 -3.568         
3477.851 2.223 -2.120 
3478.370 2.433 -2.239    
3478.535 3.241 -3.684         
3478.791 2.424 -2.528 
3479.680 3.573 -2.019         
3479.694 2.949 -2.977      
3480.134 2.865 -4.005         
3481.291 3.111 -2.826        
3481.561 2.279 -3.955     
3481.961 2.559 -6.998      
3483.007 0.915 -2.734     
3484.851 2.453 -2.768     
3484.979 2.424 -1.776     
3485.237 2.588 -5.741     
3485.340 2.198 -1.149     
3485.365 2.845 -2.425         
3486.550 2.223 -2.273         
3488.232 2.865 -5.768         
3488.742 3.211 -4.944         
3488.968 3.038 -7.826         
3489.192 2.759 -6.335        
3489.414 2.990 -2.086     
3489.668 2.949 -0.751      
3490.043 2.876 -3.613         
3490.471 3.603 -0.440         
3490.574 0.052 -1.105     
3490.742 2.279 -2.832     
3491.934 2.728 -7.470        
3491.964 2.865 -4.393         
3493.137 2.469 -5.303         
3493.280 1.485 -2.890 
3493.573 2.833 -4.086         
3493.688 3.018 -5.505    
3493.689 2.727 -1.849     
3494.164 2.424 -3.783 
3494.249 2.433 -2.827     
3494.276 2.399 -7.837         
3494.596 2.851 -6.136         
3495.287 2.559 -0.916  
3496.190 2.453 -3.230   
3496.228 2.865 -2.950         
3496.597 3.211 -7.217         
3497.002 2.728 -2.200         
3497.033 2.692 -5.316        
3497.103 2.176 -0.936     
3497.148 2.198 -1.405     
3497.214 2.559 -2.012     
3497.231 3.252 -2.271         
3497.841 0.110 -1.549     
3497.884 3.017 -1.262        
3498.178 2.808 -2.797         
3498.187 2.876 -4.966         
3498.252 3.018 -4.335    
3498.729 2.453 -2.673    
3498.757 2.851 -2.575         
3500.155 2.876 -2.779         
3500.565 2.588 -1.314     
3501.941 2.876 -6.272         
3502.463 3.241 -2.855         
3502.854 3.266 -2.896         
3504.450 2.832 -2.376         
3504.861 2.279 -1.789     
3504.931 2.832 -2.831         
3505.059 3.017 -1.010     
3506.229 2.876 -2.175         
3506.498 2.279 -1.169     
3506.521 3.047 -4.087         
3506.581 2.882 -2.046         
3507.140 3.654 -0.938         
3507.181 3.211 -6.541         
3507.200 2.833 -3.287         
3507.373 3.071 -2.893        
3508.374 2.882 -6.257         
3508.474 2.990 -0.882      
3508.518 2.559 -1.573     
3508.610 2.865 -2.307         
3509.119 2.832 -2.120 
3509.725 2.885 -2.154         
3509.862 2.223 -2.070 
3510.304 3.211 -5.659         
3510.439 2.484 -1.461     
3511.278 3.241 -5.707         
3511.465 2.692 -4.877        
3511.738 2.559 -2.430 
3512.082 2.851 -3.721         
3512.226 2.851 -1.488     
3512.677 2.882 -2.577         
3512.723 3.267 -2.021         
3512.804 2.865 -2.712         
3512.955 3.071 -1.784        
3513.053 1.557 -2.530 
3513.592 2.808 -2.365         
3513.818 0.859 -1.159   
3514.475 1.485 -5.586         
3514.627 2.404 -2.017      
3514.795 2.453 -2.509     
3515.925 2.728 -5.686        
3516.409 3.018 -1.250 
3516.557 2.865 -1.199     
3518.233 3.241 -3.913         
3518.289 2.176 -4.627         
3518.683 2.875 -1.515     
3518.870 2.198 -1.956     
3519.143 3.266 -5.254         
3520.083 3.283 -3.284         
3520.306 2.425 -5.009         
3520.847 2.608 -1.856     
3521.261 0.915 -0.988     
3521.519 3.635 -1.940     
3521.837 2.223 -1.486     
3522.268 2.832 -0.987      
3522.728 3.047 -3.023        
3522.734 2.759 -6.814        
3522.898 2.875 -1.340     
3523.175 3.252 -1.941         
3523.309 2.875 -1.228     
3524.042 2.588 -1.548      
3524.074 2.588 -1.150 
3524.240 2.279 -1.182     
3524.249 3.211 -3.173         
3524.521 2.759 -2.392         
3524.674 2.176 -3.325         
3524.717 2.832 -3.238         
3525.854 2.851 -3.943         
3526.001 2.588 -3.807     
3526.041 0.087 -1.828     
3526.079 3.640 -2.458     
3526.166 0.958 -1.267     
3526.221 3.241 -4.447         
3526.238 2.865 -0.545     
3526.381 2.865 -0.268     
3526.468 2.279 -0.920     
3526.675 2.875 -0.309     
3526.683 3.017 -1.354        
3526.776 2.833 -2.446         
3526.961 3.654 -1.200         
3527.056 3.018 -3.347    
3527.793 2.851 -0.438     
3527.891 2.759 -2.097         
3527.925 3.211 -4.550         
3527.955 3.642 -4.747     
3528.015 2.692 -4.137         
3528.235 2.453 -2.964     
3528.313 1.557 -3.682         
3528.936 0.859 -5.100         
3529.526 3.047 -1.798         
3529.820 2.882 -0.362     
3530.387 2.808 -0.947      
3530.964 2.484 -2.751      
3531.438 2.433 -1.951     
3531.459 2.469 -5.480         
3531.770 2.759 -7.235        
3532.049 2.728 -5.135        
3532.866 2.851 -4.350         
3533.007 2.885 -0.320     
3533.198 2.882 -0.112     
3534.525 3.640 -1.805     
3534.526 3.573 -1.344      
3534.679 2.176 -2.772         
3534.905 1.557 -3.215         
3534.923 1.485 -4.406         
3535.103 2.450 -5.218         
3535.223 2.424 -4.158      
3536.058 3.266 -4.275         
3536.409 3.642 -2.370     
3536.533 3.283 -4.432         
3536.556 2.875  0.115
3536.985 3.241 -4.036         
3537.416 3.211 -4.094         
3537.492 2.588 -1.526     
3537.660 2.865 -3.374         
3537.729 2.608 -1.126     
3537.895 2.832 -0.760  
3538.251 2.845 -2.170         
3538.304 3.547 -1.037         
3538.555 2.484 -2.496 
3538.782 3.573 -1.730  
3539.890 3.686 -1.931         
3540.121 2.865 -0.795     
3540.162 3.241 -6.466         
3540.318 2.198 -3.981         
3540.629 3.241 -3.656         
3540.710 0.915 -2.492     
3540.766 2.588 -5.816      
3541.083 2.851  0.252
3541.212 1.485 -8.444         
3541.979 3.211 -3.680         
3542.076 2.865  0.207
3542.243 2.279 -1.683      
3542.280 2.851 -3.350         
3542.560 2.865 -2.881         
3543.085 2.404 -5.279      
3543.385 2.433 -1.995      
3543.675 3.415 -0.770 
3544.595 2.450 -4.661         
3544.597 2.609 -3.232      
3544.630 2.608 -1.860 
3544.875 2.482 -5.217         
3545.450 3.292 -4.720         
3545.640 2.851 -0.459     
3545.832 3.047 -1.821         
3545.954 2.425 -5.487         
3546.204 2.433 -2.540     
3546.579 2.609 -3.131     
3546.771 2.728 -5.126        
3546.783 2.198 -3.215         
3547.151 2.759 -6.140        
3547.189 2.865 -4.304         
3547.194 3.301 -0.917     
3547.224 2.808 -2.034         
3547.765 3.547 -1.648         
3547.811 2.453 -3.828 
3547.830 3.642 -1.947     
3547.900 2.876 -1.632         
3548.021 3.017 -1.260 
3549.297 3.211 -3.724         
3549.865 1.608 -2.540 
3551.108 2.851 -2.400         
3551.213 3.266 -3.543         
3552.106 3.071 -1.370 
3552.424 2.453 -3.616     
3552.828 2.875 -0.784     
3552.855 3.111 -1.474      
3553.440 2.833 -1.823         
3553.601 3.252 -2.172        
3553.616 3.283 -5.203         
3553.739 3.573  0.269
3554.118 0.958 -2.206     
3554.441 2.940 -2.491         
3554.501 2.882 -1.029     
3554.645 2.469 -4.636         
3554.925 2.832  0.538
3555.451 3.252 -1.806        
3555.510 3.241 -6.861         
3556.488 3.266 -2.839         
3556.681 2.865 -1.379     
3556.878 2.851 -0.040   
3557.484 2.876 -5.861         
3558.085 3.241 -2.846         
3558.205 2.609 -3.702      
3558.410 2.990 -3.154    
3558.515 0.990 -0.629     
3559.450 2.882 -2.632         
3559.503 3.071 -0.970  
3560.068 2.865 -2.240         
3560.697 3.251 -0.950     
3562.130 3.266 -5.730         
3562.414 2.832 -4.987        
3562.594 2.559 -2.266      
3562.755 3.430 -4.443         
3562.889 2.940 -5.678         
3563.563 2.759 -9.404        
3563.607 2.808 -4.001         
3563.656 2.728 -6.534         
3564.110 1.608 -2.890  
3564.490 3.266 -4.867         
3564.515 2.453 -2.281      
3564.557 2.453 -2.069     
3565.010 2.692 -7.129         
3565.353 3.266 -2.337         
3565.379 0.958 -0.133     
3565.515 3.047 -3.791         
3565.577 2.865 -1.004         
3565.580 2.865 -0.496         
3565.623 2.223 -4.427         
3565.826 3.266 -1.480         
3566.142 1.557 -6.145         
3566.310 2.279 -1.780 
3566.579 2.404 -2.091      
3566.961 2.399 -8.098         
3567.031 2.875 -0.953     
3567.369 2.453 -2.092     
3567.739 3.241 -1.414         
3568.239 2.482 -5.084         
3568.432 2.875 -1.516     
3568.778 2.176 -3.623         
3568.823 3.251 -0.937     
3568.974 2.692 -1.098     
3570.010 2.424 -1.461     
3570.098 0.915  0.153
3570.243 2.808  0.728
3570.600 2.450 -4.424         
3571.226 1.485 -2.600 
3571.995 2.832 -0.216      
3572.312 2.433 -2.803      
3572.381 3.241 -4.893         
3572.436 3.397 -4.783         
3572.590 2.851 -1.244     
3573.394 3.301 -0.852     
3573.693 3.211 -3.755         
3573.829 2.404 -1.222      
3573.889 3.301 -0.114     
3574.250 3.283 -1.820         
3574.361 2.433 -3.221     
3575.114 2.882 -1.036     
3575.245 2.832 -0.892     
3575.370 3.017 -0.533     
3575.755 3.018 -2.558     
3575.759 3.368 -5.073         
3575.979 2.876 -0.854         
3575.982 2.876 -2.138         
3576.240 2.845 -5.241        
3576.759 3.267 -0.780    
3578.383 2.885 -1.346     
3578.409 2.759 -2.727         
3578.550 2.759 -9.277        
3578.552 3.274 -1.699        
3578.677 2.279 -1.810 
3578.969 4.076 -3.337    
3579.231 3.211 -2.976         
3579.796 3.241 -3.491         
3579.814 1.608 -4.490         
3579.825 3.241 -1.875         
3580.920 3.266 -1.747         
3581.193 0.859  0.406
3581.647 2.692 -1.255     
3581.807 3.071 -1.079     
3582.200 3.237 -0.303        
3582.332 3.283 -1.931         
3582.564 2.453 -2.483     
3582.687 2.882 -1.448         
3583.097 3.211 -3.878         
3583.330 3.292 -0.880  
3583.681 3.283 -1.136         
3584.152 2.940 -1.973         
3584.659 2.692 -0.157      
3584.786 2.865 -0.823     
3584.845 3.252 -3.185        
3584.929 2.998 -3.935         
3584.958 3.267  0.068
3585.190 2.949 -1.314        
3585.255 4.076 -1.783     
3585.319 0.958 -0.802     
3585.637 4.076 -2.532    
3585.705 0.915 -1.187  
3586.006 2.176 -2.564         
3586.103 3.017 -0.743        
3586.113 3.237  0.173
3586.489 3.018 -5.070    
3586.600 1.608 -4.879         
3586.738 2.808 -1.042      
3586.985 0.990 -0.796     
3587.195 3.211 -1.605         
3587.199 2.998 -5.053         
3587.239 2.865 -0.872     
3587.424 2.424 -1.636     
3587.689 2.851 -0.587         
3587.761 3.274 -3.029        
3588.233 1.557 -6.495         
3588.526 2.940 -1.011     
3588.609 2.832 -0.597      
3588.918 2.875 -0.905     
3589.105 0.859 -2.115   
3589.452 2.727 -0.848     
3589.605 2.990 -1.901    
3589.959 3.211 -2.323         
3590.084 2.949 -1.716
3590.279 3.017 -2.997        
3590.537 2.469 -4.513         
3590.543 2.692 -5.423        
3590.663 3.695 -3.728      
3591.001 3.211 -1.800         
3591.349 2.851 -1.820  
3591.447 2.198 -3.626         
3591.484 3.292 -1.460 
3591.631 2.559 -4.824     
3591.999 2.433 -3.890     
3592.470 2.588 -2.470 
3592.675 3.241 -1.410 
3592.892 2.198 -2.740 
3593.323 3.266 -1.410 
3593.612 3.417 -3.955         
3593.778 3.274 -2.575        
3593.789 2.453 -3.744      
3593.827 3.252 -1.795        
3593.963 3.417 -4.107         
3594.089 2.425 -4.604         
3594.632 2.851 -0.262     
3594.958 3.332 -5.128         
3595.301 2.875 -1.099     
3595.304 2.728 -9.418        
3595.672 2.882 -2.515         
3595.865 2.453 -2.331    
3596.196 2.433 -2.035   
3597.021 3.266 -1.000 
3597.053 3.252 -0.853        
3597.233 3.634 -3.182      
3597.385 2.832 -7.022        
3597.505 2.832 -7.111        
3598.717 3.251 -1.400 
3598.928 3.283 -3.975         
3598.978 2.885 -1.729         
3599.353 3.017 -2.367         
3599.625 3.573 -0.390     
3600.475 3.111 -2.103        
