1	877
2	777
3	706
4	689
5	689
6	672
7	619
8	671
9	595
10	586
11	591
12	533
13	568
14	576
15	573
16	513
17	537
18	497
19	458
20	491
21	470
22	483
23	454
24	428
25	408
26	397
